Rank,Assay,Bit_Index,Importance
1,OVERALL (Average),1602,0.006276
2,OVERALL (Average),1057,0.005597
3,OVERALL (Average),650,0.005339
4,OVERALL (Average),519,0.005271
5,OVERALL (Average),80,0.005054
6,OVERALL (Average),1313,0.004897
7,OVERALL (Average),807,0.004389
8,OVERALL (Average),875,0.004323
9,OVERALL (Average),1778,0.004051
10,OVERALL (Average),1750,0.003961
11,OVERALL (Average),1199,0.003916
12,OVERALL (Average),1917,0.003677
13,OVERALL (Average),389,0.003634
14,OVERALL (Average),695,0.003586
15,OVERALL (Average),1683,0.003518
16,OVERALL (Average),1088,0.003486
17,OVERALL (Average),1873,0.00341
18,OVERALL (Average),294,0.003345
19,OVERALL (Average),745,0.003255
20,OVERALL (Average),1457,0.003212
1,Nuclear Receptor-Androgen,182,0.012374
2,Nuclear Receptor-Androgen,455,0.010897
3,Nuclear Receptor-Androgen,1380,0.009443
4,Nuclear Receptor-Androgen,915,0.008381
5,Nuclear Receptor-Androgen,1700,0.008372
6,Nuclear Receptor-Androgen,114,0.008251
7,Nuclear Receptor-Androgen,1160,0.007655
8,Nuclear Receptor-Androgen,1313,0.007075
9,Nuclear Receptor-Androgen,1057,0.006976
10,Nuclear Receptor-Androgen,1199,0.006908
1,Nuclear Receptor-Estrogen,1313,0.017402
2,Nuclear Receptor-Estrogen,519,0.017353
3,Nuclear Receptor-Estrogen,80,0.010073
4,Nuclear Receptor-Estrogen,1873,0.009927
5,Nuclear Receptor-Estrogen,1194,0.009362
6,Nuclear Receptor-Estrogen,687,0.008565
7,Nuclear Receptor-Estrogen,345,0.008057
8,Nuclear Receptor-Estrogen,1683,0.007253
9,Nuclear Receptor-Estrogen,811,0.006469
10,Nuclear Receptor-Estrogen,1057,0.006005
1,Nuclear Receptor-AhR,1313,0.015982
2,Nuclear Receptor-AhR,519,0.009625
3,Nuclear Receptor-AhR,1873,0.009327
4,Nuclear Receptor-AhR,622,0.007777
5,Nuclear Receptor-AhR,1774,0.006998
6,Nuclear Receptor-AhR,1725,0.006155
7,Nuclear Receptor-AhR,1602,0.005934
8,Nuclear Receptor-AhR,738,0.005079
9,Nuclear Receptor-AhR,1199,0.004873
10,Nuclear Receptor-AhR,1088,0.004738
1,Nuclear Receptor-Aromatase,408,0.018771
2,Nuclear Receptor-Aromatase,1602,0.014749
3,Nuclear Receptor-Aromatase,1778,0.007476
4,Nuclear Receptor-Aromatase,1199,0.007312
5,Nuclear Receptor-Aromatase,547,0.007128
6,Nuclear Receptor-Aromatase,1057,0.006985
7,Nuclear Receptor-Aromatase,1750,0.005727
8,Nuclear Receptor-Aromatase,366,0.00531
9,Nuclear Receptor-Aromatase,1160,0.005273
10,Nuclear Receptor-Aromatase,1,0.005032
1,Nuclear Receptor-ER-LBD,519,0.015601
2,Nuclear Receptor-ER-LBD,1602,0.013499
3,Nuclear Receptor-ER-LBD,875,0.008125
4,Nuclear Receptor-ER-LBD,1199,0.007746
5,Nuclear Receptor-ER-LBD,80,0.007578
6,Nuclear Receptor-ER-LBD,1154,0.0069
7,Nuclear Receptor-ER-LBD,1683,0.006768
8,Nuclear Receptor-ER-LBD,1802,0.006543
9,Nuclear Receptor-ER-LBD,465,0.005617
10,Nuclear Receptor-ER-LBD,1274,0.005495
1,Nuclear Receptor-PPAR-gamma,1778,0.010608
2,Nuclear Receptor-PPAR-gamma,1531,0.01028
3,Nuclear Receptor-PPAR-gamma,748,0.008234
4,Nuclear Receptor-PPAR-gamma,622,0.007966
5,Nuclear Receptor-PPAR-gamma,650,0.007835
6,Nuclear Receptor-PPAR-gamma,1457,0.007698
7,Nuclear Receptor-PPAR-gamma,1925,0.007491
8,Nuclear Receptor-PPAR-gamma,1171,0.006582
9,Nuclear Receptor-PPAR-gamma,202,0.006557
10,Nuclear Receptor-PPAR-gamma,591,0.006015
1,Stress Response-ARE,622,0.015247
2,Stress Response-ARE,182,0.013083
3,Stress Response-ARE,1750,0.010006
4,Stress Response-ARE,807,0.007729
5,Stress Response-ARE,650,0.007546
6,Stress Response-ARE,1722,0.006625
7,Stress Response-ARE,1057,0.006296
8,Stress Response-ARE,84,0.005684
9,Stress Response-ARE,294,0.00551
10,Stress Response-ARE,562,0.005477
1,Stress Response-ATAD5,529,0.024496
2,Stress Response-ATAD5,1750,0.011052
3,Stress Response-ATAD5,1448,0.008074
4,Stress Response-ATAD5,1602,0.00718
5,Stress Response-ATAD5,1385,0.006556
6,Stress Response-ATAD5,1073,0.00629
7,Stress Response-ATAD5,1457,0.00568
8,Stress Response-ATAD5,561,0.005496
9,Stress Response-ATAD5,875,0.005065
10,Stress Response-ATAD5,1660,0.005033
1,Stress Response-HSE,1917,0.011328
2,Stress Response-HSE,1778,0.0108
3,Stress Response-HSE,1750,0.009726
4,Stress Response-HSE,787,0.008119
5,Stress Response-HSE,1188,0.007741
6,Stress Response-HSE,650,0.007522
7,Stress Response-HSE,1795,0.007492
8,Stress Response-HSE,1,0.006452
9,Stress Response-HSE,202,0.006378
10,Stress Response-HSE,1683,0.006022
1,Stress Response-MMP,875,0.009891
2,Stress Response-MMP,1206,0.008153
3,Stress Response-MMP,1802,0.006966
4,Stress Response-MMP,84,0.006656
5,Stress Response-MMP,1602,0.006373
6,Stress Response-MMP,105,0.006331
7,Stress Response-MMP,1750,0.006265
8,Stress Response-MMP,314,0.006264
9,Stress Response-MMP,745,0.006181
10,Stress Response-MMP,1188,0.006176
1,Stress Response-p53,1778,0.009744
2,Stress Response-p53,875,0.009116
3,Stress Response-p53,202,0.009043
4,Stress Response-p53,559,0.007465
5,Stress Response-p53,1917,0.007446
6,Stress Response-p53,519,0.007175
7,Stress Response-p53,1057,0.006892
8,Stress Response-p53,1855,0.006722
9,Stress Response-p53,504,0.006499
10,Stress Response-p53,650,0.006486
1,Stress Response-Mitochondrial,1380,0.013241
2,Stress Response-Mitochondrial,1778,0.010809
3,Stress Response-Mitochondrial,1457,0.006615
4,Stress Response-Mitochondrial,1152,0.006614
5,Stress Response-Mitochondrial,1325,0.005896
6,Stress Response-Mitochondrial,807,0.005888
7,Stress Response-Mitochondrial,650,0.005587
8,Stress Response-Mitochondrial,647,0.00551
9,Stress Response-Mitochondrial,105,0.005377
10,Stress Response-Mitochondrial,2021,0.005215
